Sector,Region,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Education,Malampa,62435,62435,0,0,2539323,2539323,30,14,30,62435,2539323,2539323,16,0,0,0,4,2046,9,29575,1,30814,0,0
Infrastructure,Malampa,56387,27410,0,28977,48856622,53669674,48,36,53,27360,1848952,2087342,61539,1,86,3391,65,27002,7,15423,1,10570,0,0
Other,Malampa,1145551,1145411,0,140,40507265,42707958,2151,1738,2239,1145551,40507265,42707958,513,8,980,24549,453,163023,283,828438,10,129533,0,0
Productive,Malampa,337628,318952,0,18676,37387673,38404040,469,346,492,319366,22829966,23503901,30090,9,172,3408,150,60907,58,139146,9,134158,0,0
Public,Malampa,171346,167129,0,4217,11558978,12399454,238,173,252,171346,11558978,12399454,85,4,74,1472,52,18274,38,106682,3,44913,0,0
Residential,Malampa,3789377,3787409,0,1968,88940499,94830996,4118,3235,4364,3789377,88940499,94830996,1417,141,1302,23270,897,388416,685,2247959,62,1008849,1,120742
Unknown,Malampa,53287225,53225142,0,62083,433070332,480842723,22303,18193,24244,53287225,433070332,480842723,6065,7,1502,77457,8124,3844912,7433,23759240,1103,23485970,17,2119639
Infrastructure,Penama,58793,50175,0,8618,102392235,102804745,25,23,25,49475,1508748,1508748,49210,1,10,331,26,11859,2,8330,2,38272,0,0
Other,Penama,489730,489730,0,0,12533196,12791034,272,265,276,489730,12533196,12791034,11,0,103,4521,110,34475,37,110881,15,339854,0,0
Productive,Penama,380358,374315,0,6043,17473283,18634661,208,188,219,374315,10197296,11213943,14428,3,71,2400,65,23028,48,182391,11,172536,0,0
Public,Penama,410702,410702,0,0,10509145,11168777,130,119,135,410702,10509145,11168777,16,0,34,1492,42,14989,34,120773,9,273448,0,0
Residential,Penama,3669444,3634991,0,34453,72087701,74782055,2252,2168,2281,3669444,72087701,74782055,193,49,1028,30429,502,179930,454,1669223,104,1789812,0,0
Unknown,Penama,145626419,145614144,0,12275,751932840,753891667,20224,19820,20270,145626419,751932840,753891667,458,4,777,40438,5009,2482331,10229,40521097,3728,83870164,69,18712385
Infrastructure,Sanma,9540766,3385,5833480,3703901,124194057,311694094,13,7,42,21535,651968,2480597,120936,0,5137,276271,2713,715279,402,1197043,190,7038787,1,313387
Other,Sanma,441496,87729,291607,62160,33482552,85667134,424,210,1316,441496,33482552,85667134,1106,0,82,3267,60,22035,59,185666,9,230528,0,0
Productive,Sanma,1541988,242353,969963,329672,131938546,242830177,497,243,1257,1187959,126311982,217994949,33550,2,748,19594,814,303899,114,299665,27,801474,1,117354
Public,Sanma,165922,12732,113844,39346,21214721,49829699,121,65,322,165922,21214721,49829699,260,0,34,1046,16,5660,9,37277,3,121939,0,0
Residential,Sanma,2128983,787696,1054277,287010,136329915,365472975,1945,1002,6501,2128983,136329915,365472975,5580,28,384,10680,274,107908,217,701664,44,1039335,2,269366
Unknown,Sanma,16298050,13011276,2125977,1160797,306281321,1195351812,8530,4254,33363,16298050,306281321,1195351812,29116,3,530,25434,1768,732699,1548,5388181,394,8362831,7,1788902
Education,Shefa,0,0,0,0,0,69810873,0,0,247,0,0,69810873,247,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Shefa,480506,0,0,480506,7242609,265586198,1,1,90,7561,356927,17136552,140011,0,444,21723,92,42803,97,393021,2,22959,0,0
Other,Shefa,3749,7,0,3742,548910,182993174,5,3,2708,3749,548910,182993174,2705,0,2,68,0,0,1,3681,0,0,0,0
Productive,Shefa,43844,190,0,43654,9949859,545515266,53,28,1981,39318,9895739,541253679,9737,1,36,920,32,9634,4,16778,1,16511,0,0
Public,Shefa,0,0,0,0,283497,227785806,3,0,848,0,283497,227785806,848,0,0,0,0,0,0,0,0,0,0,0
Residential,Shefa,44605,15362,0,29243,12342383,1472678697,91,49,12934,44605,12342383,1472678697,12892,2,14,256,14,7521,14,36827,0,0,0,0
Unknown,Shefa,315950,273842,0,42108,30944063,1439098892,896,495,24547,315950,30944063,1439098892,24052,0,113,6061,289,111831,93,198058,0,0,0,0
Education,Tafea,0,0,0,0,0,5781159,0,0,58,0,0,5781159,58,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Tafea,10105,0,0,10105,66850,49146419,0,0,48,0,0,891167,67449,0,24,1244,13,3013,3,5848,0,0,0,0
Other,Tafea,0,0,0,0,0,41323487,0,0,2185,0,0,41323487,2185,0,0,0,0,0,0,0,0,0,0,0
Productive,Tafea,1223,0,0,1223,2952,33723846,0,0,651,0,0,30576135,7001,0,3,26,3,1197,0,0,0,0,0,0
Public,Tafea,0,0,0,0,0,28253881,0,0,391,0,0,28253881,391,0,0,0,0,0,0,0,0,0,0,0
Residential,Tafea,0,0,0,0,0,83818753,0,0,4079,0,0,83818753,4079,0,0,0,0,0,0,0,0,0,0,0
Unknown,Tafea,134,0,0,134,127109,379217899,5,2,22448,134,127109,379217899,22446,0,2,134,0,0,0,0,0,0,0,0
Education,Torba,0,0,0,0,0,2656354,0,0,16,0,0,2656354,16,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Torba,169,0,0,169,1163,8745939,0,0,10,0,0,552509,13361,0,3,169,0,0,0,0,0,0,0,0
Other,Torba,0,0,0,0,0,10217638,0,0,413,0,0,10217638,413,0,0,0,0,0,0,0,0,0,0,0
Productive,Torba,2013,0,0,2013,5412,6927761,0,0,122,0,0,4788113,4375,0,1,30,5,1983,0,0,0,0,0,0
Public,Torba,0,0,0,0,0,4217009,0,0,60,0,0,4217009,60,0,0,0,0,0,0,0,0,0,0,0
Residential,Torba,913,235,0,678,124910,26555052,12,4,1000,913,124910,26555052,996,0,2,2,2,911,0,0,0,0,0,0
Unknown,Torba,14142,11279,0,2863,3068746,128410697,135,33,6003,14142,3068746,128410697,5970,0,11,522,17,5484,5,8136,0,0,0,0
